No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
7485,18,C,Prunus serotina,0.14,High,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,80,,1.29,8.73,12.19,8,28,0,1,
4188,10,D,Quercus rubra,0.06,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,15.49,24.87,3.8,20.73,18.53,18,63,1,,
4189,10,D,Quercus alba,0.06,Low,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,20.14,22.73,4.74,18.34,22.05,33,115.5,0,,1
7520,18,C,Prunus serotina,0.14,High,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,48,,1.2,9.74,12.64,8,28,0,1,
4193,10,D,Prunus serotina,0.06,Low,2017,Sterile,H,Sterile,Sterilized,AMF,Sterile,6/5/18,12.79,,0.28,5.18,8.17,33,115.5,0,,1
7538,18,C,Prunus serotina,0.14,High,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,48,,1.2,10.44,14.92,8,28,0,1,
7539,18,C,Prunus serotina,0.14,High,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,20.97,,1.03,8.87,12.26,8,28,0,1,
7548,18,A,Prunus serotina,0.141,High,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,92,,0.94,9.29,11.65,8,28,0,1,
7550,18,E,Prunus serotina,0.148,High,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,77,,1.07,6.63,10.18,8,28,0,1,
7559,18,C,Prunus serotina,0.14,High,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,41,,0.93,6.24,10.88,8,28,0,1,
7612,18,D,Prunus serotina,0.161,High,2017,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,15.04,,0.09,9.34,12.14,8,28,1,,
7659,18,B,Prunus serotina,0.138,High,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,15,,1.29,6.17,11.23,8,28,0,1,
4222,10,D,Quercus alba,0.06,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,26.08,40.7,4.66,19.2,21.57,33,115.5,0,,1
7712,18,B,Prunus serotina,0.138,High,2017,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/7/18,63,,0.76,7.99,12.14,8,28,0,1,
4225,10,D,Quercus alba,0.06,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,15.17,28.36,4.74,23.67,16.12,33,115.5,0,,1
4229,10,D,Quercus alba,0.06,Low,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,10.56,2.49,2.46,19.5,18.63,19,66.5,1,,
7769,18,D,Prunus serotina,0.161,High,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,53,,1.2,10.75,14.03,8,28,0,1,
1465,4,A,Quercus rubra,0.078,Med,2016,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,10.62,8.66,3.02,24.76,13.06,9,31.5,1,,
3658,9,A,Prunus serotina,0.065,Low,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,25.23,,0.61,7.37,11.29,9,31.5,1,,
4798,12,C,Quercus alba,0.047,Low,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,22.03,24.04,4.64,18.68,21.78,9,31.5,1,,
4240,10,D,Quercus alba,0.06,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,26.08,40.7,4.66,19.2,21.57,33,115.5,0,,1
5084,12,B,Quercus alba,0.06,Low,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,6/15/18,10.56,2.49,2.46,19.5,18.63,9,31.5,1,,
5098,12,B,Quercus alba,0.06,Low,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,6/15/18,10.56,2.49,2.46,19.5,18.63,9,31.5,1,,
5208,13,A,Prunus serotina,0.052,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/12/18,48.86,,0.55,4.9,6.86,9,31.5,1,,
5525,13,D,Prunus serotina,0.086,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,29.94,,0.56,10.76,13.39,9,31.5,1,,
5582,13,B,Prunus serotina,0.093,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,29.42,,0.68,10.46,13.7,9,31.5,1,,
4253,10,B,Quercus rubra,0.072,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,22.07,28.17,3.83,22.69,16.83,19,66.5,1,,
7061,17,A,Quercus alba,0.095,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,15.11,30.86,4.2,18.95,23.26,9,31.5,1,,
4258,10,D,Quercus alba,0.06,Low,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,20.14,22.73,4.74,18.34,22.05,21,73.5,1,,
4263,10,D,Quercus rubra,0.06,Low,2017,Quercus rubra,1454,Non-Sterile,Conspecific,EMF,EMF,5/24/18,16.59,23.81,2.37,25.82,11.39,17,59.5,1,,
4264,10,D,Acer saccharum,0.06,Low,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,6/4/18,15.57,,-0.08,10.13,10.81,17,59.5,1,,
